pathogen_name,pathogen_type,frequency_hz,disease_count,associated_diseases,target_organs
Salmonella enteriditis – infecție intestinală,329,329,17,ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Expunere la clorură de vinil; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Sindromul de hipersensibilitate la medicamente (DRESS); Afecțiuni dermatologice legate de expunerea la toxine; GASTROENTERITA; ENTERITA; GILLES DE LA TOURETTE (sindromul lui...); Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Bisinoza (expunere la pulberi de bumbac); Sindromul Gilles de la Tourette; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; DINTI - MASEA DE MINTE INCLUSA; MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; Leucemia legată de expunerea la benzen; Erizipeloidul (Infecții de la pești sau carne contaminată),bronchi; pylorus; bone marrow; corpus amygdaloid.; blood; ileum; hepar; duodenum; cardia; testes; cerebrum totalis; pharynx; teeth; hypophysis; ventriculus; erythrocutes; cutis; pulma; jejunum
Sorghum syrup mold,Necunoscut,-,4,DINTI - MASEA DE MINTE INCLUSA; Coma indusă de toxine; Afecțiuni dermatologice legate de expunerea la toxine; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS),bronchi; cutis; pulma; cerebrum totalis; teeth; hepar
Taenia pisiformis eggs (ova),Necunoscut,"465,200",16,ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Expunere la clorură de vinil; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Sindromul de hipersensibilitate la medicamente (DRESS); Afecțiuni dermatologice legate de expunerea la toxine; GILLES DE LA TOURETTE (sindromul lui...); Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Bisinoza (expunere la pulberi de bumbac); Sindromul Gilles de la Tourette; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; DINTI - MASEA DE MINTE INCLUSA; MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; TENIA; Leucemia legată de expunerea la benzen; Erizipeloidul (Infecții de la pești sau carne contaminată),erythrocutes; bronchi; cutis; blood; testes; pulma; cerebrum totalis; colon; ileum; bone marrow; pharynx; teeth; hypophysis; hepar; corpus amygdaloid.
Taenia saginata oua,Necunoscut,-,19,Sindromul de apnee în somn; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Afecțiuni dermatologice legate de expunerea la toxine; Sindrom de apnee în somn; Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); Leucemia legată de expunerea la benzen; Erizipeloidul (Infecții de la pești sau carne contaminată); BACTERIE MÂNCĂTOARE DE CARNE; GILLES DE LA TOURETTE (sindromul lui...); MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; TENIA; Expunere la clorură de vinil; DINTI - MASEA DE MINTE INCLUSA; Sindromul de hipersensibilitate la medicamente (DRESS); Sindromul Gilles de la Tourette; ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Bisinoza (expunere la pulberi de bumbac),erythrocutes; bronchi; muscle; cutis; blood; testes; pulma; cerebrum totalis; colon; ileum; bone marrow; pharynx; teeth; hypophysis; hepar; corpus amygdaloid.; cor
Tenie de porumbel,Necunoscut,457.8,29,"Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Diareea secretorie; Afecțiuni dermatologice legate de expunerea la toxine; Diareea artificială (abuz de laxative, autoindusă); Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Diareea inflamatorie; Diareea acută; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); Erizipeloidul (Infecții de la pești sau carne contaminată); Leucemia legată de expunerea la benzen; GILLES DE LA TOURETTE (sindromul lui...); Diaree, Constipație și Malabsorbție; DIAREE; MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; TENIA; DINTI - MASEA DE MINTE INCLUSA; Expunere la clorură de vinil; Diareea indusă de malabsorbția acizilor biliari (colecistectomie, boli ileale); Diareea cronică; Sindromul de hipersensibilitate la medicamente (DRESS); INTESTINE — DIAREE; Infecții produse de mușcătura de om; Sindromul Gilles de la Tourette; ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Diareea osmotică; DIAREEA CALATORULUI; Bisinoza (expunere la pulberi de bumbac); Diareea datorată medicației (AINS, laxative, antibiotice)",bronchi; colon; bone marrow; corpus amygdaloid.; blood; tumica mucosa coli; ileum; hepar; ductuli biliferi; duodenum; membrana synovalis; testes; cerebrum totalis; pharynx; teeth; hypophysis; erythrocutes; ductus choledochus; cutis; vesica fellea; pulma; jejunum
Tobacco mosaic virus (tutun),428,429.55,15,ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Sindromul de hipersensibilitate la medicamente (DRESS); Afecțiuni dermatologice legate de expunerea la toxine; FUMAT; Pneumonita de hipersensibilizare (PH); GILLES DE LA TOURETTE (sindromul lui...); Sindromul de feminizare testiculară (Insensibilitate completă la androgeni); Bisinoza (expunere la pulberi de bumbac); Sindromul Gilles de la Tourette; MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; Expunere la clorură de vinil; Leucemia legată de expunerea la benzen; Erizipeloidul (Infecții de la pești sau carne contaminată),erythrocutes; bronchi; cutis; blood; testes; pulma; cerebrum totalis; corpus amygdaloid.; bone marrow; pharynx; hypophysis; hepar; arteries; cor
Clonorchis metacercaria,Necunoscut,-,5,ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Sindromul de apnee în somn; Sindrom de apnee în somn; Afecțiuni gastrointestinale legate de consumul de apă contaminată; Erizipeloidul (Infecții de la pești sau carne contaminată),duodenum; erythrocutes; bronchi; cutis; blood; colon; pulma; pharynx; ventriculus; cor
Iron Bacterium Sphaerotilus,Necunoscut,-,1,Afecțiuni gastrointestinale legate de consumul de apă contaminată,duodenum; ventriculus; colon
Acarian de făină,Necunoscut,-,10,ALERGIE LA PEȘTI SAU FRUCTE DE MARE; ALERGIE; DERMATITA; Astm; Sindrom de detresă respiratorie acută (SDRA); Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; ASTM; Carcinogeneza respiratorie (cancer pulmonar legat de expunerea profesională); Sindromul de detresă respiratorie acută (ARDS),erythrocutes; bronchi; cutis; blood; pulma; mucosa nasalis; larynx; pharynx
Acid chlorogenic,Necunoscut,6.486.846,18,ALERGIE LA PEȘTI SAU FRUCTE DE MARE; ALERGIE; ALERGIE LA ANTIBIOTICE; ALERGIE LA CÂINI; ALERGIE LA CĂPȘUNI; Reacții de Hipersensibilitate Imediată (Anafilaxie); Sindromul de hipersensibilitate la medicamente (DRESS); ALERGIE LA ANIMALE (în general); ALERGIE LA LAPTE SAU LA PRODUSELE LACTATE; Reacții Alergice Mediate de IgE; ALERGIE LA PISICI; ALERGIE LA PRAF; ALERGIE LA PENE; ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; ALERGIE LA ARAHIDE (unt sau ulei); ALERGIE — FEBRA FÂNULUI (alergia la polen); ALERGIE LA CAI; ALERGIE LA POLEN,erythrocutes; bronchi; cutis; conjunctiva; blood; hepar; pulma; colon; mucosa nasalis; pharynx; ventriculus; nos. kpl. sinusitis
Burkholderia (pulmonar),Necunoscut,bacterie,10,CHIST; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); Pneumonia; ALERGIE LA ANIMALE (în general); Incontinența urinară la femei (asociată cu prolaps pelvin); Pneumonia cu pulberi organice (exemplu: sporii de ciuperci); Pneumonia cu Pneumocystis carinii; Pneumonia cu C. pneumoniae; Anemia imunohemolitică cu anticorpi la rece; Septicemie bacteriană,erythrocutes; bronchi; ovaria; cutis; uterus; renes; vesies urinaria; blood; cor; pulma; mucosa nasalis; hepar; lien
Notocotylus quinqeserialis,Necunoscut,-,2,ENTERITA; ALERGIE LA ANIMALE (în general),duodenum; bronchi; cutis; pulma; ileum; mucosa nasalis; jejunum
Superbactim (Superbacterii),Necunoscut,bacterie,3,ALERGIE LA ANTIBIOTICE; Infecții la gazda imunocompromisă; Infecții,erythrocutes; cutis; lymph; blood; pulma
Malaria,Necunoscut,parazit,12,ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Pneumonia industrială (expunere la oxizi de metale sau gaze acide); ANEMIE; ALERGIE LA LAPTE SAU LA PRODUSELE LACTATE; Splenomegalie; MALARIA SAU PALUDISMUL; Limfadenopatie și Splenomegalie; MICOZĂ (... la degetele de la picioare) SAU PICIOR DE ATLET; ALERGIE LA ÎNȚEPĂTURI DE VIESPE SAU DE ALBINĂ; ALERGIE LA ARAHIDE (unt sau ulei); Erizipeloidul (Infecții de la pești sau carne contaminată); COMA,erythrocutes; bronchi; cutis; lymph; blood; colon; cerebrum totalis; pulma; pharynx; ventriculus; hepar; lien
Urocleidus,Parazit,"442,350",2,ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Erizipeloidul (Infecții de la pești sau carne contaminată),erythrocutes; cutis; blood; pharynx
Myxobelus cerebralis,Necunoscut,parazit,2,ALERGIE LA PEȘTI SAU FRUCTE DE MARE; Erizipeloidul (Infecții de la pești sau carne contaminată),erythrocutes; cutis; blood; pharynx
Anaplasma marginale,Parazit,"386,400",24,"FEBRA FANULUI; Febra Pătată a Munților Stâncoși (FPMS); Febra Q; Febra recurentă transmisă de căpușe (FRTC); FEBRA (HERPES FEBRIL...); Febra vaporilor de metal; Febra de Trincee; Febra recurentă transmisă de păduchi (FRTP); Febra Hemoragică Dengue; Febra Rift Valley; Febra mediteraneană familială (FMF); ALERGIE — FEBRA FÂNULUI (alergia la polen); Febra Lassa; Febra Pontiac; ALERGIE — FEBRA FÂNULUI; Febra mușcăturii de șobolan; Boala Kyasanur Forest și Febra Hemoragică Omsk; Febra Pătată Mediteraneană (Febra Butonoasă); FEBRA (in general); ANEMIE; SALMONELOZA SAU FEBRA TIFOIDĂ; Febra Galbenă; Infecții cu Bartonella (Boala Zgârieturii de Pisică, Febra Oroya, Veruca Peruană, Angiomatoza Bacilară); Febra Mayaro",bronchi; renes; mama dextra; colon; mucosa nasalis; tongue; conjunctiva; blood; mamma sinistra; peritonaeum; hepar; membrana synovalis; nos. kpl. sinusitis; erythrocutes; hypothalamus; cutis; lymph; pulma; cor
Anaplasma marginale 2nd range,Necunoscut,"415,300",24,"FEBRA FANULUI; Febra Pătată a Munților Stâncoși (FPMS); Febra Q; Febra recurentă transmisă de căpușe (FRTC); FEBRA (HERPES FEBRIL...); Febra vaporilor de metal; Febra de Trincee; Febra recurentă transmisă de păduchi (FRTP); Febra Hemoragică Dengue; Febra Rift Valley; Febra mediteraneană familială (FMF); ALERGIE — FEBRA FÂNULUI (alergia la polen); Febra Lassa; Febra Pontiac; ALERGIE — FEBRA FÂNULUI; Febra mușcăturii de șobolan; Boala Kyasanur Forest și Febra Hemoragică Omsk; Febra Pătată Mediteraneană (Febra Butonoasă); FEBRA (in general); ANEMIE; SALMONELOZA SAU FEBRA TIFOIDĂ; Febra Galbenă; Infecții cu Bartonella (Boala Zgârieturii de Pisică, Febra Oroya, Veruca Peruană, Angiomatoza Bacilară); Febra Mayaro",bronchi; renes; mama dextra; colon; mucosa nasalis; tongue; conjunctiva; blood; mamma sinistra; peritonaeum; hepar; membrana synovalis; nos. kpl. sinusitis; erythrocutes; hypothalamus; cutis; lymph; pulma; cor
Babesia canis,Necunoscut,"537,000",24,"FEBRA FANULUI; Febra Pătată a Munților Stâncoși (FPMS); Febra Q; Febra recurentă transmisă de căpușe (FRTC); FEBRA (HERPES FEBRIL...); Febra vaporilor de metal; Febra de Trincee; Febra recurentă transmisă de păduchi (FRTP); Febra Hemoragică Dengue; Febra Rift Valley; Febra mediteraneană familială (FMF); ALERGIE — FEBRA FÂNULUI (alergia la polen); Febra Lassa; Febra Pontiac; ALERGIE — FEBRA FÂNULUI; Febra mușcăturii de șobolan; Boala Kyasanur Forest și Febra Hemoragică Omsk; Febra Pătată Mediteraneană (Febra Butonoasă); FEBRA (in general); ANEMIE; SALMONELOZA SAU FEBRA TIFOIDĂ; Febra Galbenă; Infecții cu Bartonella (Boala Zgârieturii de Pisică, Febra Oroya, Veruca Peruană, Angiomatoza Bacilară); Febra Mayaro",bronchi; renes; mama dextra; colon; mucosa nasalis; tongue; conjunctiva; blood; mamma sinistra; peritonaeum; hepar; membrana synovalis; nos. kpl. sinusitis; erythrocutes; hypothalamus; cutis; lymph; pulma; cor
Capillaria hepatica (sect. ficat),428,430.65,26,"FEBRA FANULUI; Febra Pătată a Munților Stâncoși (FPMS); Febra Q; Febra recurentă transmisă de căpușe (FRTC); FEBRA (HERPES FEBRIL...); Febra vaporilor de metal; Febra de Trincee; Febra recurentă transmisă de păduchi (FRTP); Febra Hemoragică Dengue; Febra Rift Valley; Febra mediteraneană familială (FMF); ALERGIE — FEBRA FÂNULUI (alergia la polen); Febra Lassa; Febra Pontiac; Capilarioza; HEPATITA; ALERGIE — FEBRA FÂNULUI; Febra mușcăturii de șobolan; Boala Kyasanur Forest și Febra Hemoragică Omsk; Febra Pătată Mediteraneană (Febra Butonoasă); FEBRA (in general); SALMONELOZA SAU FEBRA TIFOIDĂ; Febra Galbenă; Infecții cu Bartonella (Boala Zgârieturii de Pisică, Febra Oroya, Veruca Peruană, Angiomatoza Bacilară); Hepatita G; Febra Mayaro",bronchi; renes; mama dextra; colon; mucosa nasalis; Sistemic; tongue; conjunctiva; mamma sinistra; blood; peritonaeum; hepar; membrana synovalis; nos. kpl. sinusitis; erythrocutes; hypothalamus; cutis; lymph; pulma; cor
Ehrlichia canis,Necunoscut,bacterie,2,ALERGIE — FEBRA FÂNULUI (alergia la polen); HEPATITA,nos. kpl. sinusitis; mucosa nasalis; hepar; conjunctiva
Trypanosoma lewisi (blood smear),Necunoscut,"424,500",1,ALERGIE — FEBRA FÂNULUI (alergia la polen),nos. kpl. sinusitis; mucosa nasalis; conjunctiva
Onchocerca volvulus (are Jun),Parazit,"436,300",9,DERMATITA; Dermatita de Stază; NODULI; CECITATE; Oncocercoza; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); ALEXIE CONGENITALĂ (cecitate verbală); DINTI - MASEA DE MINTE INCLUSA; Keratita cu Acanthamoeba,bronchi; cutis; petina et chorioidea; conjunctiva; glandula thyreoidea; occipital lobe; pulma; cerebrum totalis; crystalline lens; lymph; cornea; teeth; temporal lobe; vitreous body
Ureaplasma urealyticum,Bacterie,9.363.678,7,"Boala inflamatorie intestinală (Colită ulcerativă, boala Crohn); Artrita asociată cu boala inflamatorie intestinală; Boala inflamatorie pelvină (BIP) – asociată gonoreei; Pneumonia; AVORT SPONTAN; Amenoree și infertilitate; Infertilitate cauzată de obstrucția canalelor deferente",bronchi; ovaria; uterus; membrana synovalis; endometrium; testes; tumica mucosa coli; colon; pulma; ileum; epididymis dextra; cartilago comp.; uterine tube
Bisphenol A (BPA),Cancerogen,cancerogen,26,"Cancer de piele; Diabet zaharat (tip 1 și tip 2); GRASIME, OBEZITATE; Diabet zaharat de tip 2 (DZNID); Obezitatea; Cancer pulmonar legat de azbest; Diabet zaharat tip 2; Diabet zaharat de tip 2; Diabetul zaharat tip 1 și 2; Diabetul zaharat tip 1; Amenoree și infertilitate; Infertilitate cauzată de obstrucția canalelor deferente; OBEZITATE; Cancer de sân; Cancer asociat cu obezitatea; Cancer de căi genitourinare; Cancer de cap și gât; CANCER LA PROSTATA; Diabet zaharat de tip 1 (DZID); Diabetul zaharat de tip II cu depuneri amiloidice; Cancer de situs primar necunoscut; Diabetul zaharat tip 2; Diabet zaharat; Sindromul Pickwick (obezitate-hipoventilație); Diabet zaharat tip I; DIABET",bronchi; uterus; prostata; renes; mama dextra; os; colon; larynx; pancreas; mamma sinistra; blood; vesies urinaria; hepar; ovaria; endometrium; testes; pharynx; epididymis dextra; erythrocutes; cutis; lymph; pulma; bones; cor
Diclorodifenil dicloretilena DDE,Pesticid cancerogen,cancerogen,9,Cancer de piele; Cancer de situs primar necunoscut; Cancer de sân; Cancer de căi genitourinare; Cancer pulmonar legat de azbest; Cancer de cap și gât; CANCER LA PROSTATA; Amenoree și infertilitate; Infertilitate cauzată de obstrucția canalelor deferente,erythrocutes; bronchi; ovaria; uterus; endometrium; prostata; cutis; renes; mama dextra; lymph; blood; mamma sinistra; pulma; testes; larynx; pharynx; epididymis dextra; vesies urinaria
Diclorodifenil tricloretan DDT,Pesticid cancerogen,cancerogen,2,Amenoree și infertilitate; Infertilitate cauzată de obstrucția canalelor deferente,ovaria; uterus; endometrium; testes; epididymis dextra
Fibroma uterino,Necunoscut,altele,5,DISMENOREE; METRORAGIE; MIOM UTERIN; Amenoree și infertilitate; Infertilitate cauzată de obstrucția canalelor deferente,ovaria; uterus; endometrium; testes; epididymis dextra
Micoplasma genitalium,Necunoscut,micoplasma,5,"Boala inflamatorie intestinală (Colită ulcerativă, boala Crohn); Artrita asociată cu boala inflamatorie intestinală; Boala inflamatorie pelvină (BIP) – asociată gonoreei; Amenoree și infertilitate; Infertilitate cauzată de obstrucția canalelor deferente",ovaria; uterus; membrana synovalis; endometrium; testes; tumica mucosa coli; colon; ileum; epididymis dextra; cartilago comp.; uterine tube
